########################################################################
#                                                                      #
#	lexicon: all lexemes in biblical Aramaic                       #
#                                                                      #
########################################################################
#ident "@(#)lexicon	1.23 18/01/05"
"MJC>L/"	sp=nmpr:sm=pers:gn=m:vc=MIJC@>;L:gl=Mishael
"MJCK/"		sp=nmpr:sm=pers:gn=m:vc=M;JCAK\::gl=Meshach
"ML>["		sp=verb:vc=M\:L@>:gl=fill
"ML>K/"		sp=subs:gn=m:vc=MAL\:>AK\::gl=angel
"MLH/"		sp=subs:gn=f:vc=MIL.@H:gl=word
"MLX["		sp=verb:vc=M\:LAX:gl=eat salt
"MLX/"		sp=subs:gn=m:vc=M\:LAX:gl=salt
"MLK/"		sp=subs:gn=m:vc=MELEK\::gl=king
"MLK=/"		sp=subs:gn=m:vc=M\:LAK\::gl=advise
"MLKH/"		sp=subs:vc=MAL\:K.@H:gl=queen
"MLKW/"		sp=subs:gn=f:vc=MAL\:KW.:gl=kingdom
"MLL["		sp=verb:ls=quot:vc=M\:LAL:gl=speak
"MN"		sp=prep:vc=MIN:gl=from
"MN="		sp=prin:gn=unknown:nu=unknown:vc=MAN:gl=who
"MN>/"		sp=subs:gn=m:vc=M\:N;>:gl=mina
"MND</"		sp=subs:gn=m:vc=MAN\:D.A<:gl=knowledge
"MNH["		sp=verb:vc=M\:N@H:gl=count
"MNXH/"		sp=subs:vc=MIN\:X@H:gl=offering
"MNJN/"		sp=subs:gn=m:vc=MIN\:J@N:gl=number
"M<BD/"		sp=subs:vc=MA<\:AB@D:gl=work
"M<H/"		sp=subs:vc=M\:<;H:gl=belly
"M<L/"		sp=subs:vc=ME<AL:gl=entrance
"MR>/"		sp=subs:gn=m:vc=M@R;>:gl=lord
"MRD/"		sp=subs:gn=m:vc=M\:RAD:gl=rebellion
"MRD=/"		sp=adjv:vc=M@R@D:gl=rebellious
"MRV["		sp=verb:vc=M\:RAV:gl=pluck out
"MCH/"		sp=nmpr:sm=pers:gn=m:vc=MOCEH:gl=Moses
